condition,doc_id,final_delta,min_delta,exact_fp,approx_fp,fit_k,fit_c,fit_r2,len0,len_final,drift_final
D1_main,abs_000,0.3342876228647772,0.2512471220260936,,,0.9223555627800187,0.34344185278752576,0.728474155256458,1617,10479,0.7919447690449444
D1_main,abs_008,0.20276059019514517,0.12285310163669429,,,1.116754894379525,0.25398070821908264,0.6637325206298164,1848,10505,0.8588741775479776
D1_main,abs_024,0.43363010926750306,0.2847158359389369,,,2.4096262291170882,0.36411534107955573,0.7734936216419322,920,9884,0.7688913532715649
D1_main,abs_016,0.37235955056179776,0.25870924519874944,,,0.6692383252473818,0.3903043563117993,0.40614305199805545,1358,8900,0.8116397271984294
D1_main,abs_040,0.2971152021256405,0.27337688852592895,,,0.8804676871794538,0.31378097528779636,0.8895139047770064,1637,10538,0.7783012981674363
D1_main,abs_025,0.4863745166635979,0.27541169789892106,,,2.1958621399734843,0.4108359683104787,0.31717869496788986,1852,10862,0.7790755310786939
D1_main,abs_009,0.28747022391615057,0.2501205749011286,,,2.997232856226964,0.3254505016682067,0.7936923426463038,1910,10495,0.8139850894214621
D1_main,abs_032,0.5021763336370078,0.4137259147001515,,,16.568633513007324,0.5130033294064344,0.3835338993859888,1561,9879,0.659099048693558
D1_main,abs_001,0.2625844214317875,0.26015377657168703,,,0.08931826244559617,3.4250270803504764e-13,0.652954522167013,1910,11105,0.7611462044241178
D1_main,abs_033,0.2812352663837812,0.2812352663837812,,,0.08444821521405123,1.1788686922530132e-17,0.5712644694753567,757,8484,0.66977851345758
D1_main,abs_041,0.4954720398460494,0.2710606231020133,,,0.7654864276398508,0.39885989749566547,0.6528500281309151,703,8298,0.7417242808277408
D1_main,abs_017,0.5572670260754758,0.2558454761097933,,,1.0609920170350493,0.37394102739997526,0.5065499065565287,1550,8999,0.791638850336357
D2_cross_model,abs_008,0.205637707948244,0.1513101476893759,,,0.3443114130256963,0.14295872671428958,0.9162984093086431,1848,10820,0.8753527759313801
D2_cross_model,abs_040,0.1524327364769851,0.1524327364769851,,,1.4105094541330045,0.2882043218398215,0.7158377333722228,1637,10667,0.8319760682124543
D2_cross_model,abs_024,0.03342428376534789,0.03342428376534789,,,0.6339355046901032,0.15072260893334843,0.9134560168271545,920,10262,0.7876026501751786
D2_cross_model,abs_025,0.19759206798866855,0.19759206798866855,,,0.7039580168283804,0.2906022273342816,0.6551020814615365,1852,11296,0.8137282832475692
D2_cross_model,abs_032,0.23487056403223042,0.15018638414753777,,,0.8235917926693791,0.26759998055800327,0.6097287174672066,1561,11666,0.7826003590665476
